16 rue françois evellin nantes
gare nord nantes
lycée clémenceau nantes
place royale nantes
place jean V nantes
le lieu unique nantes
château des ducs de bretagne nantes
talensac nantes
"Boulevard Benoni Goullin, 44200 Nantes"
mediatheque nantes
"
129-113 Rue Joseph Blanchart nantes"
46 bis boulevard gabriel guist’hau nantes
23 rue de strasbourg nantes
21 rue jean jaures nantes
1 rue henri lasne nantes
98 rue des coulmiers nantes
20 boulevard Ernest Dalby nantes
47 rue du croissant nantes
2 rue de Nancy nantes
"
26-38 Rue Ferdinand Buisson nantes"
"
55 Rue des Pavillons Nantes"
"15 Boulevard de la Fraternité, 44000 Nantes"
"5 Rue de Pilleux, 44100 Nantes"
"16 Rue Honoré Broutelle, 44000 Nantes"
"4 Rue de la Mitrie, 44000 Nantes"
"11 Rue du Haut Moreau, 44000 Nantes"
"13 Rue de l'Ouche de Versailles, 44000 Nantes"
"103 Rue des Hauts Pavés, 44000 Nantes"
"10 Boulevard Gaston Serpette, 44000 Nantes"
"39 Rue des Dervallières, 44000 Nantes"
